游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,600387.SH,退市海越,,"752,744.00","-752,744.00",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,839719.BJ,宁新新材,"5,217,842.17","4,515,198.75","702,643.42",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,002235.SZ,安妮股份,"14,850,497.00","15,548,296.00","-697,799.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,300581.SZ,晨曦航空,"50,080,510.00","49,403,915.00","676,595.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002235.SZ,安妮股份,"16,814,498.00","16,186,484.00","628,014.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,600387.SH,退市海越,"572,690.00",,"572,690.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,300468.SZ,四方精创,"193,995,793.00","193,434,376.00","561,417.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002898.SZ,*ST赛隆,"3,821,801.00","3,326,099.00","495,702.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002336.SZ,人乐退,"450,000.00",,"450,000.00",净买入,国金证券股份有限公司上海互联网证券分公司
,920088.BJ,科力股份,"10,801,444.72","11,233,692.25","-432,247.53",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,600804.SH,退市鹏博,"416,774.00",,"416,774.00",净买入,东方财富证券股份有限公司山南香曲东路证券营业部
,600798.SH,宁波海运,"10,940,442.00","11,285,471.00","-345,029.00",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,920088.BJ,科力股份,"10,693,189.32","10,399,427.41","293,761.91",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,600281.SH,华阳新材,"13,518,877.00","13,693,130.00","-174,253.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,839680.BJ,*ST广道,"156,358.18","6,896.00","149,462.18",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,920082.BJ,方正阀门,"2,986,758.55","3,133,140.77","-146,382.22",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,300546.SZ,雄帝科技,"25,403,538.00","25,258,524.00","145,014.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
