id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150622,2025-06-18 10:23:02.542270,2025-06-18 10:23:02.542280,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,603124.SH,江南新材,4571225.0,10045754.36,-5474529.36,
150623,2025-06-18 10:23:02.542363,2025-06-18 10:23:02.542373,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,600281.SH,华阳新材,53068472.32,50117606.0,2950866.32,
150624,2025-06-18 10:23:02.542453,2025-06-18 10:23:02.542463,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,603585.SH,苏利股份,21633766.73,28035532.0,-6401765.27,
150625,2025-06-18 10:23:02.542543,2025-06-18 10:23:02.542553,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,688291.SH,金橙子,23395925.61,0.0,23395925.61,
150626,2025-06-18 10:23:02.542633,2025-06-18 10:23:02.542644,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,688573.SH,信宇人,0.0,18940490.66,-18940490.66,
150627,2025-06-18 10:23:02.542725,2025-06-18 10:23:02.542735,越王大道,20250617,国泰海通证券股份有限公司河源越王大道证券营业部,301141.SZ,中科磁业,6500.0,33405031.0,-33398531.0,
150628,2025-06-18 10:23:02.542816,2025-06-18 10:23:02.542826,赵老哥,20250617,中国银河证券股份有限公司绍兴证券营业部,002828.SZ,贝肯能源,849818.0,27828170.0,-26978352.0,
150629,2025-06-18 10:23:02.542906,2025-06-18 10:23:02.542916,苏南帮,20250617,中国银河证券股份有限公司北京学院南路证券营业部,301357.SZ,北方长龙,95725.0,13031095.0,-12935370.0,
150630,2025-06-18 10:23:02.542995,2025-06-18 10:23:02.543005,益田路,20250617,华鑫证券有限责任公司深圳益田路证券营业部,002828.SZ,贝肯能源,109890.0,19254578.0,-19144688.0,
150631,2025-06-18 10:23:02.543084,2025-06-18 10:23:02.543094,益田路,20250617,华鑫证券有限责任公司深圳益田路证券营业部,600792.SH,云煤能源,0.0,12513890.16,-12513890.16,
